ssid,distid,schlid,disability_code,gndr,ethnic_cd,rit,lat,lon
1,2204,1032,82,M,W,207.459,45.919450000000005,-119.295191
2,2204,1032,10,M,W,203.175,45.919450000000005,-119.295191
3,1977,261,10,M,H,200.196,44.151195,-121.33290000000001
4,1925,93,10,M,P,206.044,NA,NA
5,2180,875,80,M,M,233.96,45.486920000000005,-122.583509
6,2181,927,80,F,W,211.721,45.539029,-122.544835
7,2142,1244,10,M,H,149.647,44.955585,-123.07661
8,1924,4762,82,M,W,193.572,45.457743,-122.625077
9,2239,3160,10,F,W,197.029,45.528411,-122.907577
10,2083,548,82,M,W,207.459,44.069879,-123.03873100000001
11,2054,1351,10,F,W,189.669,42.433128,-123.349027
12,2054,2054,82,M,H,198.642,NA,NA
13,2243,2781,10,M,H,179.188,45.430457000000004,-122.84515700000001
14,2083,548,80,M,W,230.528,44.069879,-123.03873100000001
15,1948,182,80,M,W,238.564,45.855763,-122.83903500000001
16,1964,4025,80,M,W,227.733,43.184685,-124.18757400000001
17,1969,217,82,M,H,203.175,43.114422000000005,-124.41667500000001
18,2183,935,10,M,W,204.619,45.514058,-122.427733
19,1991,1991,50,M,H,182.34,NA,NA
20,2244,3222,80,M,W,187.477,45.349161,-122.868947
21,2239,1285,80,M,W,219.488,45.543783000000005,-122.98149400000001
22,1935,152,10,F,A,149.647,45.987266,-123.907853
23,2207,1048,82,M,W,149.647,45.65364,-118.81577200000001
24,2180,889,90,F,H,208.871,45.600023,-122.758379
25,2053,432,50,M,M,193.572,44.757672,-121.256951
26,1928,139,82,M,A,198.642,45.345799,-122.492451
27,1901,35,50,M,W,258.45,44.585930000000005,-123.280433
28,2042,385,10,M,W,221.278,42.373054,-122.921429
29,2146,796,80,M,W,195.345,45.145566,-122.86876900000001
30,2048,408,80,M,W,227.733,42.294366000000004,-122.907436
31,1977,258,80,M,W,230.528,44.278004,-121.17918200000001
32,2242,1139,80,M,W,170.336,45.412931,-122.77368000000001
33,2206,1034,10,F,H,200.196,45.836833,-119.270476
34,2042,382,82,M,H,213.177,42.371608,-122.91262800000001
35,2054,2054,60,F,W,230.528,NA,NA
36,2057,479,80,M,W,203.175,42.193323,-121.74207700000001
37,2243,1174,10,M,H,198.642,45.502529,-122.780443
38,2142,3375,82,M,W,210.289,44.976276,-122.96009300000001
39,2142,734,10,M,M,200.196,45.026674,-123.01908100000001
40,1900,20,90,F,W,211.721,44.538195,-123.362755
41,2056,459,10,M,W,230.528,42.234948,-121.796002
42,2043,2043,10,F,W,233.96,NA,NA
43,2254,1219,90,M,W,233.96,45.310727,-122.95079000000001
44,1976,246,10,M,W,204.619,44.063816,-121.28797700000001
45,2054,2054,82,M,H,203.175,NA,NA
46,1930,1930,82,M,M,197.029,NA,NA
47,2142,1244,20,F,M,203.175,44.955585,-123.07661
48,2142,4068,82,M,W,201.704,44.964339,-123.06346
49,1902,1902,10,M,W,230.528,NA,NA
50,2241,1130,60,M,W,214.667,45.512023,-123.061992
51,2083,548,82,M,W,182.34,44.069879,-123.03873100000001
52,2083,556,82,M,W,216.205,44.051391,-122.89510000000001
53,2048,412,10,F,H,201.704,42.317381000000005,-122.95853000000001
54,2142,1244,50,M,H,201.704,44.955585,-123.07661
55,2083,548,10,M,W,187.477,44.069879,-123.03873100000001
56,2256,2784,10,M,W,219.488,45.232478,-123.18638600000001
57,2142,4068,82,M,B,203.175,44.964339,-123.06346
58,2180,889,10,F,H,238.564,45.600023,-122.758379
59,2239,3160,90,M,W,230.528,45.528411,-122.907577
60,2256,2784,82,F,W,149.647,45.232478,-123.18638600000001
61,2100,4744,10,M,A,207.459,44.647086,-123.041081
62,2243,1155,82,M,W,201.704,45.50441,-122.852956
63,1977,258,10,M,W,216.205,44.278004,-121.17918200000001
64,2239,4703,10,M,W,204.619,45.491401,-122.914765
